DATE,pair_trading,t_strategy,combined
2017-12-28,1.2887980677145086,0.031153655226000568,1.323754411223868
2017-12-29,1.3083454924444338,0.03347667044830373,1.3456248511760944
2018-01-01,1.3120788942562718,0.032579477685471744,1.3484642478521691
2018-01-02,1.3394367274555226,0.03369260700365363,1.3769352103696033
2018-01-03,1.4158904601088365,0.031573771414042065,1.4512701074333052
2018-01-04,1.3853041639488834,0.030210916891590736,1.4193245044227412
2018-01-05,1.3537165784992116,0.028742495195139897,1.3862684972766215
2018-01-08,1.3611786431974409,0.02744698913566683,1.3924350559153742
2018-01-09,1.3834774187647088,0.026280990271629154,1.4138887568804812
2018-01-10,1.5067509142186304,0.025881301061857168,1.5367625631246293
2018-01-11,1.4768472325712545,0.024495940392346496,1.5054735208077459
2018-01-12,1.3724188254542042,0.029107670963279833,1.4056568442616288
2018-01-15,1.3769171929509842,0.02880389476227231,1.4098514355574019
2018-01-16,1.4345839558667364,0.031010984824507384,1.4701457502698068
2018-01-17,1.342962282517238,0.027468652352835812,1.3749817444486387
2018-01-18,1.3449443238154446,0.02834019529738198,1.377838928727392
2018-01-19,1.3455387657492097,0.02811468245531991,1.3782114687421338
2018-01-22,1.252005913328453,0.026625096898871672,1.2831926369675979
2018-01-23,1.3032605074016583,0.02816531167415494,1.335991072124963
2018-01-24,1.251562598465911,0.03230595050505848,1.2884338020201178
2018-01-25,1.3543074943409459,0.03466437363420534,1.393537121024301
2018-01-26,1.4262833978368143,0.033553159104945066,1.4644018099909064
2018-01-29,1.4853641587665791,0.03349363295782705,1.5234230447735575
2018-01-30,1.456945261638519,0.034877018042923105,1.496387532730591
2018-01-31,1.3849249774894172,0.035610417363544825,1.425100647902113
2018-02-01,1.3112301314722143,0.03836030241734478,1.3541599136873863
2018-02-02,1.4073741630735734,0.0429231662067103,1.4548668090781158
2018-02-05,1.6382207228263466,0.04357964706593262,1.6863698496901067
2018-02-06,1.6921490075401326,0.039154965856626006,1.7363008036219367
2018-02-07,1.8223492461114732,0.040978043220509075,1.8683241195571578
2018-02-08,1.7489493756407464,0.04469591016334756,1.7989533160292723
2018-02-09,1.8365817390504031,0.041262349848180696,1.8831521191237626
2018-02-12,1.820646322715034,0.040512320825880965,1.866466673766091
2018-02-13,1.7243616542300506,0.04244888048020645,1.7721185649354352
2018-02-14,1.7428680193306496,0.04064685804376325,1.78884156185235
2018-02-15,1.648996701443283,0.041783399793328124,1.6961067857145504
2018-02-16,1.6233512169206283,0.03995815717322876,1.668636058571794
2018-02-19,1.6463953669188258,0.040236033870079235,1.6919580852668432
2018-02-20,1.7265223824276448,0.03868023931296041,1.7705293062185443
2018-02-21,1.6656305857550209,0.040310685954802555,1.7112679561877626
2018-02-22,1.550667235164019,0.04089218463552258,1.596886104277484
2018-02-23,1.697760221772389,0.04086998931195551,1.7439568955622855
2018-02-26,1.6747940653117557,0.04023127681209057,1.7203520266017862
2018-02-27,1.5716886872092866,0.042626973405740426,1.619642345092963
2018-02-28,1.4759955715659026,0.042033350574024214,1.5233556066178635
2018-03-01,1.4360301858569307,0.04288382982788548,1.4842444652229925
2018-03-02,1.3260563901969167,0.04288382982788548,1.3742706695629816
2018-03-05,1.3722875521581728,0.04288382982788548,1.4205018315242413
2018-03-06,1.4924796439206272,0.04288382982788548,1.540693923286692
2018-03-07,1.5200791733099928,0.04288382982788548,1.5682934526760568
2018-03-08,1.5694445412131286,0.04288382982788548,1.6176588205791953
2018-03-09,1.683042020665843,0.04288382982788548,1.7312563000319092
2018-03-12,1.6348546032266291,0.04288382982788548,1.6830688825926932
2018-03-13,1.574272602742732,0.04288382982788548,1.6224868821087974
2018-03-14,1.6146222809052875,0.04288382982788548,1.662836560271351
2018-03-15,1.6451190459859169,0.04288382982788548,1.6936397800541445
2018-03-16,1.6201708780546584,0.04288382982788548,1.6686916121228865
2018-03-19,1.7015682628392272,0.04288382982788548,1.7500889969074558
2018-03-20,1.7537370345109031,0.04288382982788548,1.8022577685791297
2018-03-21,1.850681375389658,0.04288382982788548,1.8992021094578833
2018-03-22,1.8391300176233252,0.04288382982788548,1.8876507516915497
2018-03-23,1.8755104041006538,0.04288382982788548,1.9240311381688793
2018-03-26,1.9086693539939106,0.04288382982788548,1.957190088062137
2018-03-27,1.90715408651788,0.04288382982788548,1.9556748205861072
2018-03-28,2.0737239793128395,0.04288382982788548,2.122244713381065
2018-03-29,2.0559570106433886,0.04288382982788548,2.1044777447116143
