DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK,DKK
2016-11-01,1.10555,1.2243,0.009601075320435888,0.76525,0.71845,0.7468259895444361,1.025220422390814,0.12172558184828125,0.11156854213385993,0.14861270044137972
2016-11-02,1.10965,1.2303,0.00968007356855912,0.76605,0.72885,0.7468259895444361,1.0274324463166546,0.12209490436916615,0.11208500526799525,0.1491402067083265
2016-11-03,1.11055,1.2462,0.009710151963878234,0.7683,0.7336,0.7464914899970141,1.026694045174538,0.12214933978281847,0.11149887943626166,0.14926041464543188
2016-11-04,1.1138,1.2519,0.00969555943377933,0.7673,0.7327,0.7460459564309161,1.0324179227751393,0.12255953329329722,0.1117505727216852,0.1497162876349318
2016-11-07,1.10405,1.2398,0.009572584119082947,0.77275,0.7342,0.7484469725319961,1.0264832683227263,0.1214417565335665,0.11081683086027107,0.14837455673101177
2016-11-08,1.1026,1.23805,0.009509319132750096,0.7762,0.7386,0.7525586995785671,1.0225994477962983,0.12151628014363224,0.11121614858477451,0.14816570852841818
2016-11-09,1.09095,1.2406,0.009463871669900155,0.7635,0.728,0.7451009611802398,1.0158988164778788,0.11984372378418541,0.11031926394987092,0.1465587993903154
2016-11-10,1.0893,1.2555,0.00936110461034402,0.76135,0.7213,0.7423904974016333,1.0131712259371835,0.1195457262402869,0.11061824537339188,0.1463828790584653
2016-11-11,1.0856,1.26015,0.009373828271466066,0.75525,0.7119,0.7383615756636025,1.0116337885685383,0.11896689151409164,0.10997833426814917,0.14573860324122653
2016-11-14,1.0737,1.2487,0.009222965183306434,0.7551,0.7117,0.737680731779286,1.0019538099293623,0.1180080245456691,0.109213227906164,0.1442460260219831
2016-11-15,1.07215,1.24565,0.009159606136936112,0.75585,0.7102,0.743549706297866,0.9982530571499876,0.11858738704551383,0.10884294507240777,0.14404033129276198
2016-11-16,1.06895,1.2443,0.009168003667201467,0.748,0.707,0.7438539070926471,0.9981036031540074,0.11796069549626065,0.1087062864845474,0.1436234766935003
2016-11-17,1.0626,1.24165,0.009081414884438995,0.7407,0.70255,0.7395082270290257,0.9929500546122529,0.1170925909663066,0.10826729028625871,0.14282551720690417
2016-11-18,1.0588,1.23455,0.009013068949977467,0.73385,0.7017,0.7406858751203614,0.9900499975248751,0.1163291183416121,0.10794706276042229,0.14239334738281026
2016-11-21,1.06295,1.24935,0.009022827754218173,0.73685,0.7066,0.7452675510508272,0.9912767644726408,0.11703297989373404,0.1084751646110623,0.1428693888047547
2016-11-22,1.0626,1.2424,0.008998875140607425,0.7402,0.7063,0.7439369141496801,0.9891196834817014,0.11735987231245894,0.1084987034404939,0.14282449725776966
2016-11-23,1.05595,1.244,0.008887703861707327,0.7385,0.7012,0.741399762752076,0.9837678307919332,0.11609682475184303,0.10775862068965518,0.14185000780175044
2016-11-24,1.0554,1.24525,0.008823010411152285,0.74075,0.70025,0.7412348973389667,0.9832358291136128,0.11628853511332318,0.10810810810810811,0.14188220938976462
2016-11-25,1.0587,1.24765,0.008843296781039971,0.74445,0.70425,0.7390983000739099,0.9866798223976319,0.1165738932766007,0.10820168794633195,0.14238726488302886
2016-11-28,1.06145,1.24155,0.008933756197793363,0.74825,0.7074,0.7456009543692216,0.9870693909781859,0.11712619175900114,0.10870392312458557,0.1426818480152955
2016-11-29,1.065,1.249,0.008897984606486631,0.7484,0.7126,0.744463056020845,0.9883864591055104,0.11720718714471572,0.1089502642043907,0.14314138074175864
2016-11-30,1.0588,1.25045,0.008736294937317084,0.73855,0.7083,0.744324525493115,0.9830425165888425,0.11729379750398798,0.10839520893176521,0.14232849416453175
2016-12-01,1.0662,1.2593,0.008764625969586748,0.74145,0.70895,0.7510326699211416,0.9894132779261898,0.11875849865506,0.10845634089997072,0.14330343068413057
2016-12-02,1.06725,1.27285,0.008804366966015144,0.74625,0.71375,0.7522190461862495,0.9886307464162135,0.11876202465499633,0.10883169178864886,0.14334451420544134
2016-12-05,1.0764,1.27335,0.008783872809521719,0.74725,0.7141,0.753693096171239,0.993591335883551,0.11944862514632457,0.10966716016888743,0.1446780190685629
2016-12-06,1.0719,1.2677,0.008770775775117309,0.7461,0.712,0.7531821947729155,0.9899029895070284,0.11900086870634156,0.10955782461983436,0.14408599051914184
2016-12-07,1.0753,1.2622,0.008790049663780601,0.74815,0.7165,0.7556865412227008,0.9926050920641223,0.11955858968687605,0.11023049195868562,0.14456089627755692
2016-12-08,1.06155,1.2586,0.008769237514798089,0.7461,0.7174,0.7580639047871736,0.9839130220888472,0.11858176212498518,0.10956862831034218,0.14266963419505793
2016-12-09,1.0562,1.25765,0.008665511265164644,0.74535,0.7134,0.758782912208817,0.9823182711198428,0.11762491766255764,0.1088850174216028,0.14199099777074134
2016-12-12,1.06345,1.268,0.008693762225603129,0.75005,0.7204,0.7615566217348261,0.9867771857114662,0.11851149561507465,0.10909289259804725,0.14301036825169824
2016-12-13,1.0627,1.2658,0.008681685983417979,0.7499,0.7203,0.7616726331022926,0.9880446596186148,0.11870422468335648,0.10910360478310203,0.14291226615980449
2016-12-14,1.05365,1.25645,0.008543722499893203,0.7406,0.7118,0.7529553497477599,0.9801038910124473,0.11661127631041922,0.10801468999783971,0.14169323414806942
2016-12-15,1.0414,1.2419,0.008462026655383965,0.73585,0.7038,0.7498500299940013,0.970873786407767,0.11536686663590218,0.10628122010840683,0.14010311589329746
2016-12-16,1.0451,1.2497,0.008475294516484448,0.7306,0.69705,0.7498781448014697,0.9745638826625085,0.11529902802919371,0.10686215316552414,0.14045930191726946
2016-12-19,1.04025,1.24,0.008540803689627195,0.7246,0.6929,0.7458233890214797,0.9734254842791783,0.11513176830882944,0.10650648091936395,0.1399149317215133
2016-12-20,1.0387,1.2367,0.00848320325755005,0.726,0.6916,0.7479991024010771,0.9718645220856212,0.11487650775416428,0.10695759131504358,0.13972530006008188
2016-12-21,1.04245,1.2354,0.008507018290089324,0.7238,0.6899,0.7455731593662628,0.9738994935722634,0.11517420097898072,0.10830950524218007,0.1402150899479802
2016-12-22,1.0437,1.2283,0.008507742045261188,0.7217,0.69045,0.7416747014759326,0.9748964172556667,0.11474600970751242,0.10840108401084012,0.1404040829507322
2016-12-23,1.04565,1.22925,0.00852151682999574,0.71825,0.6881,0.7387706855791962,0.9740417863926362,0.11493592322280329,0.10845751719051647,0.14055406412076404
2016-12-26,1.0456,1.2288,0.008540438978563498,0.7189,0.6902,0.7401650568076681,0.9735202492211839,0.11502714640655194,0.10862362998446683,0.1406291749286307
2016-12-27,1.0457,1.2271,0.008516074089844582,0.7185,0.689,0.7366482504604052,0.9726680284019065,0.11496631486974317,0.10837171498238961,0.14064697609001406
2016-12-28,1.04115,1.2226,0.008528420962858727,0.7177,0.692,0.7374087456677235,0.9723842862699339,0.11463026009606017,0.10860475471616146,0.1400776029920576
2016-12-29,1.04915,1.2263,0.008580376678536188,0.72185,0.6966,0.7405761682589054,0.977660458522755,0.11568450521737118,0.10964311167150924,0.14113927623779143
2016-12-30,1.0516,1.23385,0.008554685829162923,0.7216,0.6947,0.744463056020845,0.9819324430479184,0.11574743908791019,0.10977912440170377,0.1415568421499653
2017-01-02,1.04595,1.22755,0.008508827908955541,0.71855,0.69245,0.7441583568983479,0.9769918421181184,0.11553481063844537,0.10937209480373176,0.1406252197269058
2017-01-03,1.0406,1.2239,0.008492208398794106,0.72255,0.6917,0.7446016381236039,0.9734254842791783,0.11552279842426903,0.1091167003109826,0.1399687869605078
2017-01-04,1.0488,1.2322,0.008527693685242825,0.7284,0.6971,0.751794910348457,0.9798157946306095,0.11635822041737692,0.1098261452121292,0.1410675995937253
2017-01-05,1.0607,1.2418,0.008668891682198431,0.7337,0.7025,0.7561436672967864,0.9903441445902452,0.11795234725171032,0.11120378092855157,0.1426798122333671
2017-01-06,1.0533,1.2287,0.008552490912978406,0.7298,0.69595,0.7554867223208552,0.9820288716488265,0.1171522627959559,0.11030831173128895,0.14167817801863067
2017-01-09,1.0574,1.2162,0.008618832148243912,0.7353,0.7016,0.7566585956416464,0.9851246182642105,0.11710561755647417,0.1105448756922873,0.14223537109208317
2017-01-10,1.05545,1.2177,0.008637816360024185,0.73675,0.699,0.7557436517533254,0.9834292176820573,0.11619192582307454,0.11009457123669232,0.14199099777074134
2017-01-11,1.0582,1.2212,0.008664760419374404,0.7441,0.7056,0.7588117008764276,0.9861932938856016,0.11693991627101996,0.11077877478675087,0.14235078079403266
