DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK,DKK
2016-11-01,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-02,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-03,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-04,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-07,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-08,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-09,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-10,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-11,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-14,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-15,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-16,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-17,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-18,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-21,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-22,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-23,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-24,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-25,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-28,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-29,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-11-30,0.0,0.0,0.0,-0.3266906239790918,-0.3479713271626418,0.0,0.24385,0.0,2.240775,0.0
2016-12-01,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-02,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-05,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-06,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-07,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-08,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-09,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-12,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-13,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-14,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-15,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-16,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-19,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-20,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-21,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-22,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-23,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-26,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-27,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-28,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-29,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2016-12-30,0.0,0.0,0.0,-0.3371771528761211,-0.3526341773044644,0.0,0.252675,0.0,2.305075,0.0
2017-01-02,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-03,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-04,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-05,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-06,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-09,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-10,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-11,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-12,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-13,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-16,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-17,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-18,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-19,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-20,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,0.0,0.2558875,0.0,2.285775,0.0
2017-01-23,0.0,0.0,0.0,-0.34792290028529677,-0.3610368979709726,1.0,1.2558875,0.0,-13.241285007476595,0.0
2017-01-24,0.0,0.0,1.0,-0.35951239230728604,-0.3610368979709726,2.0,2.2558875,0.0,-28.804009250328505,0.0
2017-01-25,0.0,0.0,1.0,-0.35951239230728604,-0.3610368979709726,3.0,3.2558875,0.0,-44.375735574835005,0.0
2017-01-26,0.0,0.0,1.0,-0.35951239230728604,-0.3610368979709726,4.0,5.2558875,-8.341151172675906,-59.970566491286526,0.0
2017-01-27,0.0,0.0,2.0,-0.35951239230728604,-0.3729986396321375,5.0,7.2558875,-16.684302645396816,-75.55329367417121,0.0
2017-01-30,0.0,0.0,4.0,-0.35951239230728604,-0.3850635361070311,5.0,8.2558875,-25.039206182374308,-75.63092320614221,0.0
